ZIP_code,ReviewCount,BizCount,AvgReviewCount,sq_miles,BizPerSqMile,Category,1-Dollar,2-Dollar,3-Dollar,4-Dollar
10007,268214,9160,29.281004,0.16,57250,home_AV_top_5,422,1054,248,65
10012,1152651,12984,88.774723,0.32,40575,home_AV_top_5,1043,2941,983,206
10013,783265,12912,60.661787,0.55,23476.36364,home_AV_top_5,1024,2426,862,197
10026,30691,585,52.463248,0.33,1772.727273,home_CAGR_top_10,58,155,23,9
10065,351143,7201,48.763088,0.39,18464.10256,home_AV_top_5,509,1574,862,445
10069,81508,1866,43.6806,0.1,18660,home_AV_top_5,111,297,176,33
11201,145744,3413,42.702608,1.42,2403.521127,home_CAGR_top_10,344,852,171,20
11205,65839,1533,42.947815,0.95,1613.684211,home_CAGR_top_10,199,396,72,3
11206,63731,1775,35.904789,1.43,1241.258741,home_CAGR_top_10,322,437,21,15
11207,304837,11907,25.601495,2.67,4459.550562,home_AV_bottom_5,1464,2077,211,51
11212,3391,429,7.904429,1.54,278.571429,home_AV_bottom_5,63,85,5,1
11217,181571,3429,52.951589,0.75,4572,home_CAGR_top_10,398,1022,206,11
11221,303675,10918,27.81416,1.38,7911.594203,home_CAGR_top_10,1201,1826,189,56
11226,1751121,18614,94.075481,1.29,14429.45736,home_CAGR_top_10,1414,4357,778,94
11232,126597,4580,27.641266,1.28,3578.125,home_CAGR_top_10,775,889,129,21
11233,47315,3028,15.625826,1.35,2242.962963,home_CAGR_top_10,534,657,54,18
11237,47354,1605,29.50405,0.98,1637.755102,home_CAGR_top_10,344,377,20,11
11436,4699,305,15.406557,0.79,386.075949,home_AV_bottom_5,12,38,3,3
11692,133906,6101,21.948205,1,6101,home_AV_bottom_5,150,396,77,33
11693,164393,6952,23.646864,1,6952,home_AV_bottom_5,208,553,109,36